t,bbox,ratio,conf,landmark
0.0,True,0.0416,0.499,False
0.05,True,0.0438,0.575,False
0.07,True,0.0438,0.569,False
0.08,True,0.0438,0.525,False
0.1,True,0.0453,0.484,False
0.11,True,0.0423,0.571,False
0.13,True,0.0431,0.502,False
0.16,True,0.0431,0.582,False
0.19,True,0.0477,0.475,False
0.22,True,0.0408,0.503,False
0.26,True,0.0453,0.581,False
0.29,True,0.0431,0.535,False
0.32,True,0.0423,0.535,False
0.36,True,0.0469,0.444,False
0.39,True,0.0453,0.434,False
0.42,True,0.0485,0.374,False
0.46,True,0.0461,0.388,False
0.49,True,0.0438,0.438,False
0.52,True,0.0477,0.35,False
0.56,True,0.0453,0.472,False
0.59,True,0.0611,0.304,False
0.62,True,0.0517,0.424,False
0.66,True,0.0533,0.389,False
0.69,True,0.0509,0.398,False
0.72,True,0.0477,0.329,False
0.76,True,0.0509,0.403,False
0.79,True,0.0492,0.461,False
0.82,False,0.0,0.0,False
0.86,False,0.0,0.0,False
0.89,True,0.0517,0.427,False
0.92,True,0.0509,0.326,False
0.96,True,0.062,0.303,False
0.99,True,0.0501,0.387,False
1.02,True,0.0525,0.319,False
1.06,True,0.0485,0.404,False
1.09,True,0.0525,0.353,False
1.12,False,0.0,0.0,False
1.16,False,0.0,0.0,False
1.19,True,0.0517,0.402,False
1.22,True,0.0469,0.356,False
1.26,True,0.0453,0.449,False
1.29,True,0.0461,0.451,False
1.32,True,0.0477,0.45,False
1.36,True,0.0461,0.487,False
1.39,True,0.0501,0.441,False
1.42,True,0.055,0.355,False
1.46,False,0.0,0.0,False
1.49,False,0.0,0.0,False
1.52,True,0.0501,0.376,False
1.56,False,0.0,0.0,False
1.59,False,0.0,0.0,False
1.62,False,0.0,0.0,False
1.66,True,0.0509,0.334,False
1.69,True,0.0501,0.41,False
1.72,True,0.0477,0.395,False
1.76,True,0.0525,0.377,False
1.79,True,0.0485,0.443,False
1.82,True,0.0501,0.457,False
1.86,False,0.0,0.0,False
1.89,True,0.0542,0.335,False
1.92,True,0.0525,0.316,False
1.96,True,0.0509,0.339,False
1.99,True,0.0509,0.319,False
2.02,True,0.0525,0.317,False
2.06,True,0.0525,0.312,False
2.09,True,0.055,0.303,False
2.12,True,0.0501,0.313,False
2.16,True,0.0533,0.328,False
2.19,False,0.0,0.0,False
2.22,False,0.0,0.0,False
2.26,False,0.0,0.0,False
2.29,True,0.0501,0.357,False
2.32,True,0.0559,0.305,False
2.36,False,0.0,0.0,False
2.39,True,0.0542,0.384,False
2.42,True,0.0576,0.342,False
2.46,True,0.0559,0.323,False
2.49,True,0.0576,0.308,False
2.52,True,0.0542,0.399,False
2.56,True,0.0602,0.365,False
2.59,False,0.0,0.0,False
2.62,False,0.0,0.0,False
2.66,False,0.0,0.0,False
2.69,False,0.0,0.0,False
2.72,False,0.0,0.0,False
2.76,False,0.0,0.0,False
2.79,False,0.0,0.0,False
2.82,False,0.0,0.0,False
2.86,True,0.0542,0.318,False
2.89,False,0.0,0.0,False
2.92,False,0.0,0.0,False
2.96,True,0.0559,0.382,False
2.99,True,0.0525,0.391,False
3.02,True,0.0567,0.405,False
3.06,True,0.0542,0.37,False
3.09,True,0.0533,0.41,False
3.12,True,0.0567,0.375,False
3.16,True,0.0542,0.395,False
3.19,True,0.0567,0.39,False
3.22,True,0.0576,0.447,False
3.26,True,0.0638,0.315,False
3.29,True,0.0593,0.449,False
3.32,True,0.055,0.453,False
3.36,True,0.0477,0.412,False
3.39,True,0.0509,0.425,False
3.42,True,0.0477,0.386,False
3.46,True,0.0485,0.41,False
3.49,True,0.0438,0.403,False
3.52,True,0.0431,0.484,False
3.56,True,0.0438,0.443,False
