t,bbox,ratio,conf,landmark
0.0,True,0.0602,0.516,False
0.05,True,0.0602,0.442,False
0.07,True,0.0611,0.573,False
0.08,True,0.0525,0.577,False
0.1,True,0.0854,0.518,False
0.11,True,0.0941,0.533,False
0.14,True,0.0542,0.587,False
0.17,True,0.0533,0.517,False
0.2,True,0.0567,0.599,False
0.24,True,0.0542,0.631,False
0.27,True,0.0567,0.59,False
0.3,True,0.0533,0.633,False
0.34,True,0.0567,0.575,False
0.37,True,0.0517,0.581,False
0.4,True,0.0723,0.549,False
0.44,True,0.0542,0.548,False
0.47,True,0.0876,0.397,False
0.5,True,0.1043,0.389,False
0.54,True,0.0501,0.394,False
0.57,True,0.0416,0.483,False
0.6,True,0.0373,0.532,False
0.64,True,0.0477,0.507,False
0.67,True,0.0525,0.495,False
0.7,True,0.038,0.503,False
0.74,True,0.0366,0.451,False
0.77,True,0.0401,0.332,False
0.8,False,0.0,0.0,False
0.84,False,0.0,0.0,False
0.87,False,0.0,0.0,False
0.9,True,0.0656,0.307,False
0.94,False,0.0,0.0,False
0.97,True,0.062,0.325,False
1.0,True,0.0611,0.458,False
1.04,True,0.0752,0.467,False
1.07,True,0.0694,0.406,False
1.1,True,0.0752,0.438,False
1.14,True,0.0611,0.356,False
1.17,True,0.0602,0.387,False
1.2,True,0.0732,0.398,False
1.24,True,0.0684,0.344,False
1.27,False,0.0,0.0,False
1.3,True,0.062,0.453,False
1.34,True,0.0833,0.378,False
1.37,True,0.093,0.367,False
1.4,True,0.0723,0.384,False
1.44,True,0.0656,0.372,False
1.47,True,0.0638,0.35,False
1.5,True,0.0823,0.35,False
1.54,False,0.0,0.0,False
1.57,True,0.0684,0.323,False
1.6,True,0.0611,0.398,False
1.64,True,0.0713,0.373,False
1.67,True,0.0602,0.32,False
1.7,True,0.0703,0.335,False
1.74,True,0.0666,0.345,False
1.77,True,0.0703,0.354,False
1.8,True,0.0703,0.354,False
1.84,True,0.0742,0.311,False
1.87,True,0.0602,0.347,False
1.9,True,0.0675,0.313,False
1.94,True,0.0723,0.341,False
1.97,True,0.0742,0.311,False
2.0,True,0.0732,0.307,False
2.04,True,0.0629,0.383,False
2.07,True,0.0675,0.363,False
2.1,True,0.0675,0.323,False
2.14,True,0.0675,0.309,False
2.17,True,0.0602,0.37,False
2.2,True,0.0792,0.348,False
2.24,True,0.0656,0.366,False
2.27,True,0.062,0.436,False
2.3,True,0.0844,0.317,False
2.34,True,0.0941,0.329,False
2.37,True,0.0703,0.397,False
2.4,True,0.0886,0.366,False
2.44,True,0.0703,0.33,False
2.47,True,0.0684,0.312,False
2.5,True,0.0752,0.309,False
2.54,True,0.0713,0.371,False
2.57,True,0.0684,0.36,False
2.6,True,0.0611,0.34,False
2.64,True,0.0974,0.362,False
2.67,True,0.0782,0.318,False
2.7,True,0.0638,0.427,False
2.74,True,0.0703,0.33,False
2.77,True,0.0656,0.337,False
2.8,False,0.0,0.0,False
2.84,True,0.0713,0.357,False
2.87,True,0.0694,0.328,False
2.9,True,0.0732,0.355,False
2.94,True,0.0656,0.413,False
2.97,True,0.0772,0.327,False
3.0,True,0.0823,0.35,False
3.04,True,0.0886,0.333,False
3.07,True,0.0675,0.315,False
3.1,True,0.0694,0.313,False
3.14,True,0.0703,0.332,False
3.17,True,0.0742,0.343,False
3.2,True,0.0792,0.344,False
3.24,True,0.0703,0.344,False
3.27,True,0.0752,0.35,False
3.3,True,0.0941,0.36,False
3.34,True,0.0629,0.387,False
3.37,True,0.0823,0.311,False
3.4,True,0.0647,0.438,False
3.44,True,0.0703,0.334,False
3.47,True,0.0762,0.312,False
3.5,True,0.0963,0.366,False
3.54,True,0.0854,0.372,False
3.57,True,0.0723,0.347,False
3.6,True,0.0802,0.329,False
3.64,True,0.0782,0.461,False
3.67,True,0.0492,0.35,False
3.7,True,0.0647,0.388,False
3.74,True,0.0638,0.409,False
3.77,True,0.0752,0.493,False
3.8,True,0.0703,0.442,False
3.84,True,0.0823,0.402,False
3.87,True,0.0762,0.409,False
3.9,True,0.0666,0.422,False
3.94,True,0.0666,0.391,False
3.97,True,0.062,0.393,False
4.0,True,0.0813,0.362,False
4.04,True,0.0762,0.375,False
4.07,True,0.0694,0.432,False
4.1,True,0.0823,0.363,False
4.14,True,0.0919,0.359,False
4.17,True,0.0941,0.373,False
4.2,True,0.0833,0.391,False
4.24,True,0.0742,0.402,False
4.27,True,0.0919,0.338,False
4.3,True,0.0629,0.452,False
4.34,True,0.0844,0.321,False
4.37,True,0.0647,0.353,False
4.4,True,0.0656,0.416,False
4.44,True,0.0723,0.431,False
4.47,True,0.0703,0.457,False
4.5,True,0.0844,0.382,False
4.54,True,0.0823,0.382,False
4.57,True,0.0897,0.342,False
4.6,True,0.0844,0.396,False
4.64,True,0.0675,0.436,False
4.67,True,0.0908,0.38,False
4.7,True,0.0656,0.409,False
4.74,True,0.0752,0.334,False
4.77,True,0.0732,0.384,False
4.8,True,0.0656,0.399,False
4.84,True,0.0772,0.312,False
4.87,True,0.0986,0.368,False
4.9,True,0.0629,0.322,False
4.94,True,0.0941,0.315,False
4.97,True,0.0782,0.337,False
5.0,True,0.062,0.404,False
5.04,True,0.0611,0.339,False
5.07,True,0.0666,0.407,False
5.1,False,0.0,0.0,False
5.14,True,0.0611,0.367,False
5.17,True,0.0963,0.347,False
5.2,True,0.0694,0.375,False
5.24,True,0.0762,0.418,False
5.27,True,0.0732,0.457,False
5.3,True,0.0897,0.388,False
5.34,True,0.0684,0.479,False
5.37,True,0.0647,0.464,False
5.4,True,0.0833,0.401,False
5.44,True,0.0833,0.409,False
5.47,True,0.0772,0.441,False
5.5,True,0.0703,0.467,False
5.54,True,0.0772,0.394,False
5.57,True,0.0752,0.416,False
5.6,True,0.0656,0.444,False
5.64,True,0.0684,0.425,False
5.67,True,0.0752,0.384,False
5.7,True,0.0675,0.445,False
5.74,True,0.0694,0.429,False
5.77,True,0.0952,0.373,False
5.8,True,0.0684,0.413,False
5.84,True,0.0723,0.4,False
5.87,True,0.0732,0.421,False
5.9,True,0.0666,0.446,False
5.94,True,0.0656,0.369,False
5.97,True,0.0684,0.423,False
6.0,True,0.0732,0.428,False
6.04,True,0.0469,0.42,False
